Obec_Kod,Obec_Nazev,registered,envelopes,valid,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Komunistická str.Čech a Moravy,Občanská demokratická aliance,Občanská demokratická strana,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Strana svobodných občanů,Strana zelených,Česká pirátská strana,Česká str.sociálně demokrat.,Řád národa - Vlastenecká unie
506761,Alojzov,205,145,144,0,0,17,0,29,1,0,5,1,4,18,9,0
589268,Bedihošť,834,527,524,1,0,123,0,51,2,1,13,14,2,34,28,0
589276,Bílovice-Lutotín,431,279,275,0,0,40,0,13,0,0,8,4,1,30,32,0
589284,Biskupice,238,132,131,0,0,24,0,14,1,0,5,1,2,10,9,0
589292,Bohuslavice,376,236,236,0,0,22,1,20,4,0,3,6,3,17,23,0
589306,Bousín,107,67,67,0,0,14,0,5,2,0,3,0,0,7,4,0
589314,Brodek u Konice,695,460,460,0,0,47,0,25,4,0,20,5,3,38,32,0
589322,Brodek u Prostějova,1224,656,655,1,0,61,2,54,4,0,21,11,5,57,42,0
589331,Březsko,178,111,111,0,0,3,0,9,3,0,6,1,0,10,9,1
589349,Budětsko,331,208,206,0,0,22,0,6,3,0,6,2,1,7,24,0
589357,Buková,264,170,169,0,0,33,0,16,0,0,3,3,2,14,19,0
589365,Čehovice,426,281,280,0,0,42,0,16,7,0,8,5,5,18,27,0
589381,Čechy pod Kosířem,814,512,512,0,0,79,0,25,7,1,20,6,7,31,66,1
589390,Čelčice,437,272,272,0,0,46,1,21,0,1,10,3,5,18,23,0
589403,Čelechovice na Hané,1063,649,642,1,1,76,0,49,3,0,63,0,2,43,45,0
589420,Dětkovice,427,284,281,1,0,47,0,19,4,0,6,4,2,38,12,0
589438,Dobrochov,270,172,170,0,0,13,0,13,2,1,7,3,5,13,14,0
589446,Dobromilice,629,308,308,0,4,42,0,9,0,0,14,1,1,10,22,0
589454,Doloplazy,459,244,244,0,0,37,0,24,0,0,5,3,2,12,20,1
589462,Drahany,443,290,287,0,0,44,0,11,6,0,28,6,2,9,29,0
558419,Držovice,1139,748,742,0,0,45,9,78,6,3,40,5,4,60,42,1
589489,Dřevnovice,380,220,219,0,0,28,0,6,1,0,4,0,1,24,15,0
589497,Dzbel,209,133,133,0,0,22,0,2,1,0,5,1,0,6,11,1
549967,Hačky,83,67,65,0,1,0,0,4,0,1,4,3,0,0,10,0
589501,Hluchov,292,174,173,0,0,25,0,9,0,0,4,6,5,7,9,0
589519,Horní Štěpánov,749,454,452,0,0,48,1,16,4,0,10,1,1,41,56,0
589527,Hradčany-Kobeřice,326,196,194,1,0,24,1,11,0,0,5,1,1,14,16,0
